
--
8/12/2016 14:7
typing style
f	3144
j	3301
f	3633
j	3790
f	4339
j	4778
f	5007
j	5445
f	5644
j	5797
j	5965
f	6145
f	6921
j	7063
f	7230
j	7335
f	7457
j	7579
f	8046
f	8502
j	8788
f	8943
j	9117
j	9255
f	9396
j	9534
j	9715
f	9859
j	10014

--
8/12/2016 14:8
typing style
f	3231
j	3299
f	3611
j	3665

--
8/12/2016 14:11
typing style
f	3143
j	3486
f	3675
j	4390
f	4514
j	4650
f	4771
f	5494
j	5608
f	5715
j	5782
f	6276
f	9235
j	9744
f	9986
j	10441
f	10656
f	11592
j	11822
f	12120
j	12311
f	12612
f	13331
j	13556
f	13806
j	13962
f	14226
f	15326
j	15559
f	15716
j	15794
d	15895
k	15990
d	16655
j	16967
f	17138
k	17604
j	18008
f	18264
j	18603
f	18835
j	19030
k	19403
j	20354
f	20554
j	20770
d	20954
k	21411
f	21611
j	21773
d	22021
k	22128
f	22710
j	22972
d	23176
f	23921
j	24072
f	24387
j	24487
k	24791
j	25268
f	25470
j	25666
f	25892
d	26346
f	26804
j	27558
f	27726
j	27973
d	28189
f	28488
f	29411
j	29671
f	29978
j	30285
d	30723
k	31236
s	31474
l	31715
s	32197
k	32416
d	32661
j	32846
f	33037
k	33223
l	33420
j	33979
d	34115
k	34301
f	34493
j	34656
d	34876
f	35064
l	35248
k	35738
d	36104
j	36306
f	36499
j	36701
d	36918
s	37207
s	38121
d	38301
f	38581
k	38759
j	38987
l	39561
k	39791
j	40293
f	40496
k	40717
d	40922
s	41185
d	41562
f	41775
j	42093
k	42539
j	42819
k	43294
d	43557
f	43695
j	43986
l	44148
k	44883
d	45017
j	45217
f	45439
l	45606
;	46090
l	46720
s	46989
k	47126
d	47355
f	47688
j	47724
j	48233
f	48435
k	48640
d	48858
l	49019
s	49312
a	49758
a	50699
a	51189
f	51352
j	51807
s	52009
k	52236
d	52445
l	52629
f	52931
s	53258
f	54057
d	54321
f	54510
j	54860
k	55067
k	56005
j	56267
f	56459
d	56686
s	57142
s	57828
d	58097
f	58297
j	58656
k	58891
k	59603
j	59842
f	59934
d	60162
s	60594
f	61257
d	61467
s	61641
a	61964
s	62588
d	62881
f	63095
s	63373
a	63856
s	64291
d	64508
f	64692
a	65165
s	65265
d	65357
f	65484
a	66171
s	66190
d	66292
f	66394
j	66531
f	66624
d	66695
s	66749
a	66831
a	67354
s	67393
d	67445
f	67499
j	67658
g	67746
j	67945
f	68018
k	68222
s	68482
a	68625
s	69002
d	69121
d	69452
f	69462
d	69716
s	69771
a	69931

--
8/12/2016 14:12
typing style

--
8/12/2016 14:15
typing style
f	2925
j	3255
f	3363

--
8/12/2016 14:17
typing style
f	2792
j	2941
f	3097
j	3233
f	3811
j	4216
f	4622
j	5498
f	5642
j	5736
f	6103
f	7570
f	10813
f	15420
d	16035
k	16329
f	19785
j	19925
d	20194
k	20427
j	23311
d	23550
k	23785
f	24036
j	24208
f	25486
d	26180
j	27013
f	27157
j	27392
k	27742
j	28882
j	29873
d	30107
f	30325
k	30632
f	31260
j	31467
d	31715
f	31920
j	32151
d	32629
j	32863
f	33044
k	33253
d	33693
j	33933
f	34093

--
8/12/2016 14:17
typing style
f	3417
j	3579
f	5469
j	5685
f	5852
f	6544
j	6751
f	6927
j	7031
f	7199
j	7627
j	7801
f	7944
j	8111
f	8284
j	8400
f	8618
j	8966
f	9129
j	9271
f	9382
j	9480
f	9583
j	9945
f	10309
j	10438
f	10552
j	10620
f	10744
j	10792
f	10920
j	11338
f	11494
j	11599
f	11705
j	11852
j	12285
f	12429
j	12727
f	12901
j	13157
f	13365
j	13544
f	13806
j	14016
f	14311
j	14483
f	14692
j	14782
f	14929
j	15049
f	15140
j	15359
f	15572
j	15799
f	15982
j	16080
f	16215
j	16326
f	16435
j	16756
f	16873
j	16990
f	17063
j	17198
f	17280
j	17567
f	17701
j	17791
f	17889
j	17994
f	18095
j	18173
f	18491
j	18581
f	18680
j	18769
f	18886
j	18977
f	19065
j	19156
f	19239
j	19356

--
8/12/2016 14:18
typing style
f	2967
j	3304
f	3787
j	3985
f	4105
j	4225
f	4426
j	5175
f	5322
j	5403
f	5567
j	5821
f	6147
j	6462
f	6616
j	6705
f	6820
j	7118
f	7526
f	8103
j	8236
f	8372
j	8418
f	8570
j	8857
f	9120
j	9208
f	9335
j	9405
f	9525

--
8/12/2016 14:20
typing style

--
8/12/2016 14:20
typing style

--
8/12/2016 14:20
typing style

--
8/12/2016 14:20
typing style

--
8/12/2016 14:21
typing style

--
8/12/2016 14:22
typing style

--
8/12/2016 14:23
typing style
f	3164
j	3272
d	3397
k	3490
f	3630
d	4301
j	4530
f	4619
s	4736
l	4803
s	5020
k	5251
d	5384
j	5503
f	5604
l	5725
s	5848
s	6358
a	6649
s	6887
d	7095
f	7262
j	8160
k	8500
l	8703
;	9033
a	9365
s	9447
d	9546
f	9681
g	9881
h	10007
j	10190
k	10415
l	10546
;	10645
a	11398
s	11481
d	11540
f	11604
g	11771
h	11837
j	12000
k	12105
l	12175
;	12229
r	12369
u	12512
e	13288
r	13423
u	13620
r	13749
e	14496
u	14847
w	15025
e	15283
r	15427
u	15883
i	16072
o	16239
w	16929
e	17013
r	17097
u	17191
i	17245
o	17292
q	18189
w	18392
e	18477
r	18630
u	18815
t	18968
u	19293
q	20119
w	20244
e	20349
r	20430
t	20650
y	20759
u	20955
i	21063
o	21151
p	21254
c	22090
v	22222

--
8/12/2016 15:45
typing style
f	8421
j	8581
f	12252
j	12864
j	13545
j	14011
j	14216
j	14598
f	17874
j	18174
d	18784
k	19493
k	20685
d	21280
j	22015
f	22456
f	24595
j	24882
k	25068
k	26146
d	26689
j	27340
j	28884
d	29249
k	29555
f	30921
s	32085
l	33010
d	34818
f	35531
l	35971
s	36693
k	37016
f	38537
j	38813
k	38956
d	39777
k	39831
k	40125
d	41371
k	41389
k	42226
d	42253
s	44671
l	45692
d	47004
k	48263
s	49545
l	50382
k	51315
j	52213
s	53234
d	54304
f	55380
k	56381
l	57593
a	58287
;	58978
;	60520
l	61676
k	62310
j	63078
f	63856
d	64577
s	65275
a	65970
;	68048
l	68556
k	69109
j	69704
h	70234
g	70767
f	71331
d	71933
s	72509
a	73147
a	78209
s	78298
d	78347
f	78383
g	78392
h	78434
j	78452
k	78486
l	78523
;	78560
r	84439
u	84537
r	85374
u	85984
r	87286
u	87729
a	89726
a	90517
;	90861
a	91924
a	92542
;	92698
r	94526
i	94943
k	95253
i	95552
d	95685
a	97066
i	98049
u	98591
r	98780
u	99087
e	101042
i	101206
l	106389
l	107045
l	108392
l	108698
l	108982
l	109169
l	109429
a	113559
a	114141
a	114692
a	115127
a	116024
a	117827
a	118386
a	118970
a	119608
w	122342
o	122748
q	124724
p	125162
e	126269
i	126496
i	127477
;	129234
d	130509
j	131002
i	131511
j	131865
w	135834
o	135938
o	137582
o	137797
o	137967
o	138120
o	138287
o	138451
o	138604
o	138762
o	138893
q	141623
p	141762
t	142771
y	142920
t	143821
y	143965
t	144257
y	144389
y	144676
y	144846
y	145037
i	148271
w	148752
o	149075
r	149385
u	149685
i	150078
o	150540
f	152067
d	154478
k	154953
i	155644
r	155708
d	156046
k	156065
o	156478
e	156514
j	156543
d	157049
k	157557
p	157610
w	157619
k	157646
k	157759
s	158200
l	158236
d	158361
k	158361
j	158516
j	160073
d	160099
d	160646
o	160801
s	161513
l	161748
d	162015
j	162162
t	162453
i	162679
s	163161
j	163425
k	163830
f	164125
s	164965
k	165254
j	166361
